sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar2,34,49,101,,शान्तिनगर,0207 सरोजनी नगर वार्ड,,15000,18000,19000,20000,24000,26000,35000,28000,27000,,,,,,,
sarojininagar2,34,49,102,,शारदा कैनाल कालोनी,0010 हिन्दनगर,,13000,14000,15000,16000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar2,34,49,103,,शिवरी,0113 परगना काकोरी,,7000,7700,8400,9200,20000,22000,25000,24000,23000,,168,150,,168,120,
sarojininagar2,34,49,104,,सकरा,0113 परगना काकोरी,,2500,2800,3300,3800,18000,20000,23000,22000,21000,,60,57,,60,42,
sarojininagar2,34,49,105,,सदरौना,0101 बिजनौर,,7000,7700,8400,9200,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,34,49,106,,समदा,0101 बिजनौर,,6000,6600,7200,7900,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,34,49,107,,सम्भरखेड़ा,0010 हिन्दनगर,,10000,11000,12000,13000,24000,26000,37000,30000,27000,,440,394,,440,315,
sarojininagar2,34,49,108,,सरांय मुहिब,0113 परगना काकोरी,,2500,2700,3300,3800,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,34,49,109,,सराय शहजादी,0101 बिजनौर,,3200,3500,4000,4500,18000,20000,23000,22000,21000,,84,75,,84,60,
sarojininagar2,34,49,110,,सरोजनी नगर,0206 सरोजनी नगर वार्ड,,12000,13000,14000,15000,24000,26000,32000,28000,27000,,,,,,,
sarojininagar2,34,49,111,,सरोसा भरोसा,0113 परगना काकोरी,,8500,9300,10200,11200,20000,22000,32000,25000,23000,,196,175,,196,140,
sarojininagar2,34,49,112,,सहिजनपुर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,35,50,113,,सादुल्लानगर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,35,50,114,,सालेहनगर,0005 बिजनौर,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar2,35,50,115,,सैदपुर पुरही,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,35,50,116,,स्वपन लोक कालोनी,0010 हिन्दनगर,,12000,13000,14000,15000,24000,26000,37000,30000,27000,,,,,,,
sarojininagar2,35,50,117,,हनुमानपुरी,0300 सरोजनी नगर वार्ड,,11000,12000,13000,14000,24000,26000,29000,28000,27000,,,,,,,
sarojininagar2,35,50,118,,हरदोईया लाल नगर,0113 परगना काकोरी,,5500,6000,7000,8000,20000,22000,25000,24000,23000,,95,85,,95,68,
sarojininagar2,35,50,119,,हरौनी,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,35,50,120,,हिन्दनगर,0010 हिन्दनगर,,13000,14000,15400,16900,24000,26000,37000,30000,27000,,,,,,,
sarojininagar2,35,50,121,,हुलास खेड़ा,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
