sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar2,55,137,100,1117,नरेन्द्री,ward 111 लखनऊ,ग्रामीण,6500,7200,8000,8500,22500,25000,23000,22000,20500,,88,80,,88,63,
sadar2,55,138,101,0333,नरही,ward 034 रामतीर्थ नरही,नगरीय क्षेत्र,25000,27500,28000,31000,30000,32500,70500,55000,44000,,,,,,,
sadar2,55,138,102,0404,नया गणेशगंज,ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27500,28000,31000,30000,32500,70500,55000,44000,,,,,,,
sadar2,55,138,103,0278,नया गाँव पश्चिम,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,21000,23000,24500,27000,30000,32500,59500,47000,36000,,,,,,,
sadar2,55,138,104,0424,नया विजयीपुर,ward 028 चिनहट,नगरीय क्षेत्र,10000,11000,11500,12500,30000,32500,41500,36000,32000,,,,,,,
sadar2,55,138,105,0385,नयागाँव पूर्वी,ward 040 शिवाजी मार्ग,नगरीय क्षेत्र,21000,23500,24500,27000,30000,32500,61500,49500,39500,,,,,,,
sadar2,55,139,106,0379,नजरबाग,ward 039 नजरबाग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,53000,41500,33000,,,,,,,
sadar2,56,139,107,0279,नजीराबाद,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,25000,27000,28500,31000,30000,32500,70500,55000,44000,,,,,,,
sadar2,56,139,108,0280,नजीराबाद रोड,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,25000,27000,28500,31000,30000,32500,87000,69500,55000,,,,,,,
sadar2,56,139,109,0318,नवल किशोर रोड,ward 033 हजरतगंज,नगरीय क्षेत्र,42000,45500,47500,52000,30000,32500,48500,44000,38500,,,,,,,
sadar2,56,139,110,0409,नवईया गणेशगंज,ward 043 गणेशगंज,नगरीय क्षेत्र,16500,18000,18500,20500,30000,32500,48500,44000,38500,,,,,,,
sadar2,56,140,111,0230,नवाब पुरवा,ward 027 राजीव गांधी,नगरीय क्षेत्र,10000,16500,17500,19000,30000,32500,87000,69500,55000,,,,,,,
sadar2,56,140,112,0313,नेहरू इन्क्लेव,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,43000,47500,49500,54000,30000,32500,61500,50000,39500,,,,,,,
sadar2,57,140,113,0356,नाला फतेहगंज,ward 036 अमीनाबाद,नगरीय क्षेत्र,16500,18000,18500,20500,30000,32500,35000,30500,28500,,,,,,,
sadar2,57,140,114,1088,नौबस्ताकला,ward 111 लखनऊ,नगरीय क्षेत्र,9000,10000,11000,12000,25000,27500,38500,36000,33000,,221,198,,221,158,
sadar2,57,140,115,1204,नौबस्ताकला (पिताम्बरा बिहार कालोनी),ward 111 लखनऊ,नगरीय क्षेत्र,8800,8800,9800,11000,25000,27500,38500,36000,33000,,,,,,,p4: name cut off in print
sadar2,57,141,116,0362,नटखेडा,ward 037 यादुनाथ सन्याल रोड,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,38500,36000,33000,,,,,,,
sadar2,57,141,117,1100,निजामपुर मल्हौर,ward 111 लखनऊ,नगरीय क्षेत्र,8000,8000,9000,9500,25000,27500,35000,30500,28000,,221,198,,221,158,
sadar2,57,141,118,0220,निशातगंज,ward 026 निशातगंज,नगरीय क्षेत्र,16500,18000,18500,20500,3000,32500,48500,44000,38500,,,,,,,covered_ordinary 3000 clearly printed (likely typo for 30000); premium 32500
sadar2,57,141,119,1114,पपनामऊ,ward 111 लखनऊ,अर्द्धनगरीय,2400,2700,3300,3600,22000,24000,23000,22000,20500,,88,80,,88,63,
sadar2,57,141,120,0259,प्राग नरायन रोड,ward 029 राजा राम मोहन राय,नगरीय क्षेत्र,30000,33000,34000,37500,30000,32500,70500,55000,44000,,,,,,,
sadar2,58,142,121,1116,पड़रा,ward 111 लखनऊ,ग्रामीण,2500,2800,3100,3500,22000,24000,23000,22000,20500,,84,77,,84,61,
sadar2,58,142,122,0421,पुराना आर0टी0ओ0,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,37000,40000,41500,46000,30000,32500,77000,61500,47000,,,,,,,
sadar2,58,142,123,0341,पुराना हैदराबाद,ward 035 काल्विन कालेज,नगरीय क्षेत्र,25000,27500,28500,31500,30000,32500,55000,44000,38500,,,,,,,
sadar2,58,142,124,0411,पुराना गणेशगज,ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27500,28500,31500,30000,32500,70500,55000,44000,,,,,,,
sadar2,58,142,125,0282,पुरानी कचेहरी रोड,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,23000,25000,26500,28500,30000,32500,59500,47000,36000,,,,,,,
sadar2,58,143,126,0281,पुल झाऊ लाल,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,61500,49500,39500,,,,,,,
