sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sadar,76,51. सतगुरू सर्राफ के बगल से डा0 जैन के मकान तक,रिकाबगंज,,37800,83700,79900,75900,
sadar,76,52. अकबरपुर रोड पर बाईपास से एक कि0मी0 तक,रानोपाली,,25900,67500,63700,59700,
sadar,76,52. अकबरपुर रोड पर बाईपास से एक कि0मी0 तक,सहनवा,,25900,67500,63700,59700,
sadar,76,52. अकबरपुर रोड पर बाईपास से एक कि0मी0 तक,आशापुर,,25900,67500,63700,59700,
sadar,76,53. अकबरपुर रोड पर बाईपास से एक किमी. से आगे यश पेपर मिल तक,आशापुर,,15700,53600,49800,45800,
sadar,76,53. अकबरपुर रोड पर बाईपास से एक किमी. से आगे यश पेपर मिल तक,कुढ़ा केशवपुर,,15700,53600,49800,45800,
sadar,76,53. अकबरपुर रोड पर बाईपास से एक किमी. से आगे यश पेपर मिल तक,पाराखान,,15700,53600,49800,45800,
sadar,76,54. चुंगी चौराहे से रायबरेली रोड मऊषिवाला चौराहे तक,पहाड़गंज,,24100,65000,61200,57200,
sadar,76,54. चुंगी चौराहे से रायबरेली रोड मऊषिवाला चौराहे तक,उसरू,,24100,65000,61200,57200,
sadar,76,54. चुंगी चौराहे से रायबरेली रोड मऊषिवाला चौराहे तक,जनौरा,,27700,70000,66200,62200,
sadar,76,54. चुंगी चौराहे से रायबरेली रोड मऊषिवाला चौराहे तक,पलिया शाहबदी,,24100,65000,61200,57200,
sadar,77,55. बाईपास रोड-सहादतगंज बाईपास से देवकाली चौराहे तक,अब्बूसराय,,22100,62400,58600,54600,
sadar,77,55. बाईपास रोड-सहादतगंज बाईपास से देवकाली चौराहे तक,गद्दोपुर,,22100,62400,58600,54600,
sadar,77,55. बाईपास रोड-सहादतगंज बाईपास से देवकाली चौराहे तक,खोजनपुर,,22100,62400,58600,54600,
sadar,77,55. बाईपास रोड-सहादतगंज बाईपास से देवकाली चौराहे तक,जनौरा,,22100,62400,58600,54600,
sadar,77,55. बाईपास रोड-सहादतगंज बाईपास से देवकाली चौराहे तक,भीखापुर,,22100,62400,58600,54600,
sadar,77,55. बाईपास रोड-सहादतगंज बाईपास से देवकाली चौराहे तक,देवकाली,,22100,62400,58600,54600,
sadar,77,56. देवकाली बाईपास से अयोध्या तक,रानोपाली,,22100,62400,58600,54600,
sadar,77,56. देवकाली बाईपास से अयोध्या तक,माझा शाहनेवाजपुर,,22100,62400,58600,54600,
sadar,77,56. देवकाली बाईपास से अयोध्या तक,माझा बरहटा,,22100,62400,58600,54600,
sadar,77,56. देवकाली बाईपास से अयोध्या तक,तकपुरा,,22100,62400,58600,54600,
sadar,77,57. इलाहाबाद रोड पर बाईपास से एक किलोमीटर तक,जनौरा,,27700,70000,66200,62200,
sadar,77,57. इलाहाबाद रोड पर बाईपास से एक किलोमीटर तक,चाँदपुर हरवंश,,27700,70000,66200,62200,
sadar,77,57. इलाहाबाद रोड पर बाईपास से एक किलोमीटर तक,उसरू,,27700,70000,66200,62200,
sadar,77,57. इलाहाबाद रोड पर बाईपास से एक किलोमीटर तक,पूरा हुसैनखां,,27700,70000,66200,62200,
sadar,77,57. इलाहाबाद रोड पर बाईपास से एक किलोमीटर तक,डाभासेमर,,27700,70000,66200,62200,
sadar,78,58. इलाहाबाद रोड पर एक कि.मी. बाद से आगे तहसील सदर की सीमा तक,चांदपुर हरवंश,,22100,62400,58600,54600,
sadar,78,58. इलाहाबाद रोड पर एक कि.मी. बाद से आगे तहसील सदर की सीमा तक,पूरा हुसैनखां,,22100,62400,58600,54600,
sadar,78,58. इलाहाबाद रोड पर एक कि.मी. बाद से आगे तहसील सदर की सीमा तक,डाभासेमर,,22100,62400,58600,54600,
sadar,78,59. अकबरपुर-फैजाबाद रोड पर अमरनाथ सिंह के मकान के बगल से स्टेशन रोड पर रेलवे क्रसिंग तक,कटरा गोशाईंगंज,,12300,49000,45200,41200,
sadar,78,60. अकबरपुर-फैजाबाद रोड पर थाना गोशाईगंज/आश्रम मार्ग पर उदय प्रताप सिंह स्टेशनी की दुकान से चन्द्रमणि स्टेशनरी की दुकान तक,अंकारीपुर,,12300,49000,45200,41200,
sadar,78,60. अकबरपुर-फैजाबाद रोड पर थाना गोशाईगंज/आश्रम मार्ग पर उदय प्रताप सिंह स्टेशनी की दुकान से चन्द्रमणि स्टेशनरी की दुकान तक,कटरा गोशाईगंज,,12300,49000,45200,41200,
sadar,78,61. अकबरपुर-फैजाबाद रोड पर भीटी चौराहा से मड़हा पुल तक,अंकारीपुर,,12300,49000,45200,41200,
sadar,78,61. अकबरपुर-फैजाबाद रोड पर भीटी चौराहा से मड़हा पुल तक,कटरा गोशाईगंज,,12300,49000,45200,41200,
sadar,78,62. अकबरपुर-फैजाबाद रोड पर तेलियागढ़ चौराहा से महबूबगंज मार्ग पर सागर वर्मा के राइस मिल/धर्मकांटा तक तथा इसी मार्ग पर दिलासीगंज मार्ग पर मंसाराम कबाड़ की दुकान तक,बेलवारी खान,,6200,40600,36800,32800,
sadar,78,62. अकबरपुर-फैजाबाद रोड पर तेलियागढ़ चौराहा से महबूबगंज मार्ग पर सागर वर्मा के राइस मिल/धर्मकांटा तक तथा इसी मार्ग पर दिलासीगंज मार्ग पर मंसाराम कबाड़ की दुकान तक,राम नगर मिश्रौली अ0टा0ए0,,12300,49000,45200,41200,
sadar,78,62. अकबरपुर-फैजाबाद रोड पर तेलियागढ़ चौराहा से महबूबगंज मार्ग पर सागर वर्मा के राइस मिल/धर्मकांटा तक तथा इसी मार्ग पर दिलासीगंज मार्ग पर मंसाराम कबाड़ की दुकान तक,राम नगर मिश्रौली बा0टा0ए0,,9200,44800,41000,37000,
sadar,78,63. आदर्श स्कूल से राठ हवेली होते हुए एस0एस0बी0 इण्टर कालेज तक,राठ हवेली,,30800,74200,70400,66400,
sadar,78,63. आदर्श स्कूल से राठ हवेली होते हुए एस0एस0बी0 इण्टर कालेज तक,दिलकुशा,,30800,74200,70400,66400,
sadar,79,64. परिक्रमा मार्ग से साकेतपुरी होते हुए देवकाली बाईपास तक,साकेतपुरी कालोनी,,24100,65800,62000,58000,
sadar,79,64. परिक्रमा मार्ग से साकेतपुरी होते हुए देवकाली बाईपास तक,देवकाली,,24100,65800,62000,58000,
sadar,79,64. परिक्रमा मार्ग से साकेतपुरी होते हुए देवकाली बाईपास तक,रानोपाली,,24100,65800,62000,58000,
sadar,79,64. परिक्रमा मार्ग से साकेतपुरी होते हुए देवकाली बाईपास तक,मौजा फैजाबाद,,24100,65800,62000,58000,
sadar,79,65. नयाघाट से साकेत पेट्रोल पम्प होते हुए लखनऊ गोरखपुर राष्ट्रीय राजमार्ग तक,मांझा मीरापुर द्वाबा,,25600,67100,63300,59300,
sadar,79,65. नयाघाट से साकेत पेट्रोल पम्प होते हुए लखनऊ गोरखपुर राष्ट्रीय राजमार्ग तक,नयाघाट,,25600,67100,63300,59300,
sadar,79,66. टेढ़ी बाजार से मोहबरा बाजार होते हुए लखनऊ गोरखपुर राष्ट्रीय राजमार्ग तक,बाग बिजेसी,,24100,65800,62000,58000,
sadar,79,66. टेढ़ी बाजार से मोहबरा बाजार होते हुए लखनऊ गोरखपुर राष्ट्रीय राजमार्ग तक,रानोपाली,,24100,65800,62000,58000,
sadar,79,66. टेढ़ी बाजार से मोहबरा बाजार होते हुए लखनऊ गोरखपुर राष्ट्रीय राजमार्ग तक,आशिफबाग,,24100,65800,62000,58000,
sadar,79,67. परिक्रमा मार्ग पर अफीम कोठी प्रारम्भ से राजघाट तक,मांझा जमथरा,,22100,62000,58200,54200,
sadar,79,67. परिक्रमा मार्ग पर अफीम कोठी प्रारम्भ से राजघाट तक,बेगमपुरा,,22100,62000,58200,54200,
sadar,79,67. परिक्रमा मार्ग पर अफीम कोठी प्रारम्भ से राजघाट तक,दोराही कुंआ,,22100,62000,58200,54200,
sadar,79,67. परिक्रमा मार्ग पर अफीम कोठी प्रारम्भ से राजघाट तक,चक्रतीर्थ,,22100,62000,58200,54200,
sadar,79,67. परिक्रमा मार्ग पर अफीम कोठी प्रारम्भ से राजघाट तक,मीरापुर बुलन्दी,,22100,62000,58200,54200,
