sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar,092,280,,पिलखावां,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,092,281,,पी0डब्लू0डी0कालोनी,पुलिस लाइन,नगरीय,14000,17400,19200,58900,54900,50800,,,,,,,
sadar,092,282,,पुरखेपुर,हवेली अवध,अधिसूचित,3700,4000,4600,38100,34400,30300,103,85,77,76,103,47,
sadar,092,283,,पुरानी सब्जी मण्डी,फतेहगंज,नगरीय,14000,22000,26000,79500,75500,71400,,,,,,,
sadar,092,284,,पूरा हुसैन खां,हवेली अवध,अर्द्धनगरीय,8200,9000,9900,47800,43800,39700,328,268,243,238,328,149,
sadar,092,285,,पौसरा उपरहार,अमसिन,ग्रामीण,2800,3000,3500,33600,30100,26600,73,61,55,54,73,34,
sadar,092,286,,पौसरा मांझा,अमसिन,ग्रामीण,1800,2000,2300,32300,28800,25300,25,20,19,18,25,13,
sadar,092,287,,प्रमोद वन,मीरापुर डेरा बीबी,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,092,288,,प्रहलाद घाट,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,092,289,,प्रियदर्शनी आ0योजना(वि0प्रा0),रामनगर,नगरीय,11400,12900,14400,52200,48200,44100,,,,,,,
sadar,092,290,,फतेहगंज,फतेहगंज,नगरीय,24800,28300,34700,79500,75500,71400,,,,,,,
sadar,093,291,,फतेहपुरमुमताजाबाद,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,093,292,,फिरोजपुर,हवेली अवध,अर्द्धनगरीय,4400,4800,5300,39600,35600,31500,93,76,67,66,93,42,
sadar,093,293,,फैजाबाद ग्रामीण,हवेली अवध,अर्द्धनगरीय,8200,9000,9900,47800,43800,39700,328,268,243,238,328,149,
sadar,093,294,,बक्सरिया टोला,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,093,295,,बजाजा,चौक,नगरीय,27900,31400,37100,83700,79700,75600,,,,,,,
sadar,093,296,,बढई का पुरवा,सहादतगंज,नगरीय,10500,11500,12300,49200,45200,41100,,,,,,,
sadar,093,297,,बनगवां,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,093,298,,बनवारी का पुरवा,वासूपुर सिरसा उर्फ जयसिंहपुर,नगरीय,8800,9700,10800,43100,39100,35000,,,,,,,
sadar,093,299,,बन्दन पुर,अमसिन,ग्रामीण,2800,3000,3500,33600,30100,26600,73,61,55,54,73,34,
sadar,093,300,,बन्धा तिराहा व्या0योजना(वि0प्रा),मीरापुर द्वाबा मांझा,नगरीय,8700,9600,10500,43100,39100,35000,,,,,,,
sadar,093,301,,बबुवापुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,093,302,,बरईपारा,अमसिन,ग्रामीण,2200,2400,3000,32900,29400,25900,60,49,41,40,60,28,
